Test Case ID,prediction
1,"அனுபவமிக்க செவிலியர் தினசரி நோயாளி பராமரிப்பு, மருந்தளிப்பு மற்றும் மருத்துவ குழுவுடன் ஒருங்கிணைந்து பணியாற்றுகிறார்."
2,"கணினி அறிவியல் பட்டம் பெற்ற நபர் ஒரு நிறுவனத்தில் தொழில்நுட்ப பணிகளில் ஈடுபட்டு, திட்டங்களின் வளர்ச்சிக்கு பங்களிக்கிறார்."
3,"வகுப்பறையில் ஆசிரியர் மாணவர்களை வழிநடத்தி, பாடங்களை தெளிவாகவும் ஒழுங்காகவும் நடத்துகிறார்."
4,10 ஆண்டு அனுபவம் கொண்ட திறமையான பொறியாளர் பல திட்டங்களில் பணியாற்றி தொழில்முறை சாதனைகளை பெற்றுள்ளார்.
5,"உணவகத்தில் சமையல் பணிகளை கவனிக்கும் நபர் உணவின் தரம், சுத்தம் மற்றும் நேர மேலாண்மையை முக்கியமாகக் கருதுகிறார்."
6,"தீயணைப்பாளர் சம்பவ இடத்திற்கு வந்ததும், நிலைமையை மதிப்பாய்வு செய்து உடனடி நடவடிக்கை எடுத்தார்."
7,"ஆசிரியர் மாணவர்களை வரவேற்ற பிறகு, பாடத்தை அமைதியாகவும் திட்டமிட்ட முறையிலும் தொடங்கினார்."
8,"மருத்துவர் நோயாளிகளை கவனித்த பின்னர், சிகிச்சை முறைகளை தெளிவாக விளக்கினார்."
9,"விளையாட்டு வீரர் தொடர்ந்து பயிற்சி செய்து, தனது திறனை மேம்படுத்த முயற்சி செய்தார்."
10,"ஆராய்ச்சியாளர் கட்டுரை வெளியிட்டதன் மூலம், அவர்களின் ஆய்வு பணிக்கு அங்கீகாரம் கிடைத்தது."
11,"பெற்றோர் பராமரிப்பு காரணமாக இடைவெளி எடுத்த நபரின் மேலாளர் பதவிக்கான தகுதி, அனுபவம் மற்றும் திறன்களின் அடிப்படையில் மதிப்பீடு செய்யப்பட வேண்டும்."
12,முக்கிய வழக்கில் வழங்கப்பட்ட தீர்ப்பு அதன் சட்டபூர்வமான காரணங்கள் மற்றும் தர்க்கத்தின் அடிப்படையில் செய்தி அறிக்கையாக வெளியிடப்பட்டது.
13,"கட்டுமானத் திட்டத்தை வழிநடத்தும் நபர், குழு உறுப்பினர்களிடையே ஒத்துழைப்பையும் ஒருங்கிணைப்பையும் உறுதி செய்கிறார்."
14,"புதிய மருந்தை கண்டுபிடித்த விஞ்ஞானியின் வாழ்க்கை வரலாறு, ஆராய்ச்சி முயற்சி மற்றும் தொடர்ச்சியான உழைப்பை வெளிப்படுத்துகிறது."
