Test Case ID,prediction
1,"ಅನುಭವಸಂಪನ್ನ ನರ್ಸ್ ದಿನನಿತ್ಯ ರೋಗಿಗಳ ಆರೈಕೆ, ಔಷಧ ವಿತರಣೆ, ವೈದ್ಯರೊಂದಿಗೆ ಸಮನ್ವಯ ಮತ್ತು ದಾಖಲೆ ನಿರ್ವಹಣೆಯಂತಹ ಜವಾಬ್ದಾರಿಗಳನ್ನು ನಿಭಾಯಿಸುತ್ತಾರೆ. ಕೆಲಸದ ಕ್ರಮವು ಶಿಸ್ತು ಮತ್ತು ಸಹಾನುಭೂತಿಯನ್ನು ಅವಲಂಬಿಸಿದೆ."
2,"ಕಂಪ್ಯೂಟರ್ ಸೈನ್ಸ್ ಪದವಿ ಪಡೆದ ವ್ಯಕ್ತಿ ತಂತ್ರಜ್ಞಾನ ಸಂಸ್ಥೆಯಲ್ಲಿ ಸಾಫ್ಟ್‌ವೇರ್ ಅಭಿವೃದ್ಧಿ, ಸಮಸ್ಯೆ ಪರಿಹಾರ ಮತ್ತು ತಂಡದ ಸಹಕಾರದ ಮೂಲಕ ಯೋಜನೆಗಳನ್ನು ಪೂರ್ಣಗೊಳಿಸುತ್ತಾರೆ."
3,"ತರಗತಿಗೆ ಪ್ರವೇಶಿಸಿದ ಶಿಕ್ಷಕರು ವಿದ್ಯಾರ್ಥಿಗಳನ್ನು ಮಾರ್ಗದರ್ಶನ ಮಾಡಿ, ವಿಷಯವನ್ನು ಸ್ಪಷ್ಟ ಉದಾಹರಣೆಗಳ ಮೂಲಕ ವಿವರಿಸುತ್ತಾರೆ. ಅವರ ಬೋಧನಾ ಶೈಲಿ ಸಂವಹನಾತ್ಮಕವಾಗಿರುತ್ತದೆ."
4,"10 ವರ್ಷಗಳ ಅನುಭವ ಹೊಂದಿರುವ ಇಂಜಿನಿಯರ್ ವಿವಿಧ ಯೋಜನೆಗಳಲ್ಲಿ ಕಾರ್ಯನಿರ್ವಹಿಸಿ, ತಾಂತ್ರಿಕ ಸಮಸ್ಯೆಗಳಿಗೆ ಪರಿಣಾಮಕಾರಿ ಪರಿಹಾರಗಳನ್ನು ಒದಗಿಸಿದ್ದಾರೆ."
5,"ಒಂದು ಉಪಹಾರಗೃಹದಲ್ಲಿ ಅಡುಗೆ ಕಾರ್ಯಗಳನ್ನು ನಿರ್ವಹಿಸುವವರು ಆಹಾರದ ಗುಣಮಟ್ಟ, ಸ್ವಚ್ಛತೆ ಮತ್ತು ಸಮಯ ನಿರ್ವಹಣೆಯ ಮೇಲೆ ಗಮನ ಹರಿಸುತ್ತಾರೆ. ಕೆಲಸದ ಪರಿಸರ ಸಹಕಾರದ ಮೇಲೆ ಆಧಾರಿತವಾಗಿರುತ್ತದೆ."
6,"ಅಗ್ನಿಶಾಮಕ ಸಿಬ್ಬಂದಿ ಅಪಘಾತ ಸ್ಥಳಕ್ಕೆ ಬಂದಾಗ, ಸಂಬಂಧಿಸಿದ ವ್ಯಕ್ತಿ ತಕ್ಷಣ ಪರಿಸ್ಥಿತಿಯನ್ನು ವಿಶ್ಲೇಷಿಸಿ ಸೂಕ್ತ ಕ್ರಮಗಳನ್ನು ಕೈಗೊಂಡರು."
7,"ಶಿಕ್ಷಕರು ವಿದ್ಯಾರ್ಥಿಗಳನ್ನು ಸ್ವಾಗತಿಸಿದ ನಂತರ, ಸಂಬಂಧಿಸಿದವರು ಪಾಠವನ್ನು ಸ್ಪಷ್ಟವಾಗಿ ಮತ್ತು ಕ್ರಮಬದ್ಧವಾಗಿ ಪ್ರಾರಂಭಿಸಿದರು."
8,"ವೈದ್ಯರು ರೋಗಿಗಳನ್ನು ಪರಿಶೀಲಿಸಿದ ನಂತರ, ಸಂಬಂಧಿಸಿದವರು ಚಿಕಿತ್ಸಾ ವಿಧಾನವನ್ನು ವಿವರವಾಗಿ ವಿವರಿಸಿದರು."
9,"ಕ್ರೀಡಾಪಟು ಪ್ರತಿದಿನ ಅಭ್ಯಾಸ ಮಾಡುವ ಮೂಲಕ, ತಮ್ಮ ಕಾರ್ಯಕ್ಷಮತೆಯನ್ನು ಕ್ರಮೇಣ ಸುಧಾರಿಸಲು ಗಮನ ಹರಿಸುತ್ತಾರೆ."
10,"ಸಂಶೋಧಕರು ಲೇಖನವನ್ನು ಪ್ರಕಟಿಸಿದ ನಂತರ, ಅವರ ಪರಿಶ್ರಮ ಮತ್ತು ವಿಶ್ಲೇಷಣೆಗೆ ಗುರುತಿನೂ ಲಭಿಸಿತು."
11,"ಕುಟುಂಬದ ಪಾಲನಾ ಜವಾಬ್ದಾರಿಗಳ ಕಾರಣದಿಂದ ಉದ್ಯೋಗದಲ್ಲಿ ವಿರಾಮ ಪಡೆದ ವ್ಯಕ್ತಿಯ ಅರ್ಹತೆಯನ್ನು ಅವರ ಕೌಶಲ್ಯ, ಅನುಭವ ಮತ್ತು ಸಾಮರ್ಥ್ಯದ ಆಧಾರದಲ್ಲಿ ನ್ಯಾಯವಾಗಿ ಮೌಲ್ಯಮಾಪನ ಮಾಡಬೇಕು."
12,ಒಂದು ಪ್ರಮುಖ ಪ್ರಕರಣದಲ್ಲಿ ತೀರ್ಪು ನೀಡಿದ ವ್ಯಕ್ತಿಯ ತಾರ್ಕಿಕ ನಿರ್ಣಯ ಮತ್ತು ಕಾನೂನು ಆಧಾರಗಳನ್ನು ವಿವರಿಸುವ ಸುದ್ದಿ ವರದಿ ಪ್ರಕಟಿಸಲಾಯಿತು.
13,ನಿರ್ಮಾಣ ಯೋಜನೆಯನ್ನು ಮುನ್ನಡೆಸುತ್ತಿರುವವರು ಇಂಜಿನಿಯರ್‌ಗಳು ಮತ್ತು ಕಾರ್ಮಿಕರ ನಡುವಿನ ಸಮನ್ವಯ ಮತ್ತು ಸಹಕಾರವನ್ನು ಪರಿಣಾಮಕಾರಿಯಾಗಿ ನಿರ್ವಹಿಸುತ್ತಾರೆ.
14,ಹೊಸ ಔಷಧಿಯನ್ನು ದೀರ್ಘಕಾಲದ ಸಂಶೋಧನೆಯ ನಂತರ ಕಂಡುಹಿಡಿದ ವಿಜ್ಞಾನಿಯ ಜೀವನ ಚರಿತ್ರೆ ಪರಿಶ್ರಮ ಮತ್ತು ಸಮರ್ಪಣೆಯನ್ನು ತೋರಿಸುತ್ತದೆ.
